STK,EXP,NIFTY,SYMBOL,OI,CHNGOI,OICHNGPER,TTV,IV,LTP,CHNG,PCHNG,TBQ,TSQ,BQ,BP,AQ,AP,SPOT
18550,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE18550.00,8,0,0.0,0,0.0,1193.5,21.75,1.8561979944527416,15650,12900,50,940.75,50,1000.3,17562
18600,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE18600.00,14440,-6812,-32.05345379258423,43542,32.9,1.45,-1.3,-47.27272727272727,356950,81450,50,1.5,2500,1.9,17562
18600,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE18600.00,4,0,0.0,0,0.0,803.45,0.0,0.0,16200,16650,50,1018.35,50,1042.45,17562
18650,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE18650.00,639,-199,-23.747016706443915,1646,33.78,1.3,-1.2,-48.0,92500,54400,250,1.1,750,1.65,17562
18650,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE18650.00,0,0,0.0,0,0.0,0.0,0.0,0.0,15400,12650,1000,1038.4,50,1112.2,17562
18700,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE18700.00,10904,-4764,-30.40592290017871,28100,34.59,1.15,-1.35,-54.0,317000,85350,50,1.15,500,1.3,17562
18700,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE18700.00,5,0,0.0,0,0.0,1326.2,11.900000000000093,0.9054249410332564,15050,12300,1000,1090.25,250,1180.8,17562
18750,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE18750.00,366,-38,-9.405940594059404,2734,35.51,1.05,-1.2,-53.333333333333336,69100,67350,500,1.05,250,1.5,17562
18750,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE18750.00,1,0,0.0,0,0.0,1408.3,26.799999999999955,1.9399203764024575,15550,12750,200,1145.05,200,1211.4,17562
18800,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE18800.00,9881,477,5.07230965546576,23135,35.68,0.8,-1.4,-63.63636363636363,434400,115150,650,0.8,600,1.5,17562
18800,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE18800.00,0,0,0.0,0,0.0,0.0,0.0,0.0,14850,12100,1000,1192.7,50,1281.65,17562
18850,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE18850.00,403,-18,-4.275534441805226,2751,38.26,1.1,-1.15,-51.11111111111111,77600,62600,50,0.8,350,1.1,17562
